Epoch,Best Candidate,Mean Fitness,
1385,665,590.644,
1386,665,590.58,
1387,665,591.612,
1388,665,584.266,
1389,665,591.748,
1390,665,591.296,
1391,665,587.448,
1392,665,588.99,
1393,665,590.39,
1394,665,583.364,
1395,665,584.86,
1396,665,587.14,
1397,665,589.23,
1398,665,585.486,
1399,665,589.902,
1400,665,591.542,
1401,665,592.808,
1402,665,591.012,
1403,665,587.694,
1404,665,583.666,
1405,665,596.078,
1406,665,596.366,
1407,665,594.722,
1408,665,592.222,
1409,665,587.668,
1410,665,575.48,
1411,665,586.424,
1412,665,590.564,
1413,665,593.478,
1414,665,591.41,
1415,665,591.272,
1416,665,595.98,
1417,665,587.686,
1418,665,587.376,
1419,665,592.356,
1420,665,592.63,
1421,665,599.042,
1422,665,594.608,
1423,665,597.482,
1424,665,603.822,
1425,665,600.89,
1426,665,599.626,
1427,665,598.496,
1428,665,593.444,
1429,665,596.994,
1430,665,597.644,
1431,665,593.862,
1432,665,586.2,
1433,665,591.802,
1434,665,587.386,
1435,666,595.632,
1436,666,596.588,
1437,666,604.032,
1438,666,597.372,
1439,666,603.858,
1440,666,601.836,
1441,666,599.54,
1442,666,596.848,
1443,666,598.06,
1444,666,596.54,
1445,666,591.056,
1446,666,591.004,
1447,666,595.106,
1448,666,597.732,
1449,666,596.038,
1450,666,590.752,
1451,666,585.62,
1452,666,585.62,
1453,666,585.264,
1454,666,591.572,
1455,666,588.488,
1456,666,588.75,
1457,666,588.376,
1458,666,596.144,
1459,666,592.514,
1460,666,589.854,
1461,666,593.834,
1462,666,593.05,
1463,666,598.136,
1464,666,592.12,
1465,666,586.196,
1466,666,590.126,
1467,666,586.288,
1468,666,589.346,
1469,666,590.262,
1470,666,590.126,
1471,666,589.62,
1472,666,594.276,
1473,667,599.432,
1474,667,593.274,
1475,667,590.676,
1476,667,591.512,
1477,667,588.518,
1478,667,596.0,
1479,667,598.1,
1480,667,592.376,
1481,667,587.624,
1482,667,585.506,
1483,667,579.704,
1484,667,588.144,
